GISJOIN,YEAR,TRACTA,COUNTY,STATE,Total Pop,% White,% Black,% Other races,Total Units,% Occupied,% Vacant,% Owner Occupied,% Renter
G17003102518,1980,2518,Cook,Illinois,9144,0.010279965004374452,0.9832677165354331,0.0064523184601924756,2893,0.9260283442792948,0.07397165572070515,0.21612541993281076,0.7838745800671892
G17003102519,1980,2519,Cook,Illinois,10437,0.025294624892210404,0.9680942799655073,0.006611095142282265,3653,0.8672324117163975,0.13276758828360252,0.1875,0.8125
G17003102520,1980,2520,Cook,Illinois,9122,0.0131550098662574,0.9841043630782723,0.002740627055470292,3217,0.8967982592477464,0.10320174075225365,0.13830155979202774,0.8616984402079723
G17003102521,1980,2521,Cook,Illinois,12974,0.007784800369970711,0.9913673500847849,0.0008478495452443348,3861,0.9235949235949236,0.0764050764050764,0.29865395401009537,0.7013460459899047
G17003102522,1980,2522,Cook,Illinois,12073,0.019382092272011927,0.9751511637538308,0.00546674397415721,3651,0.9537113119693235,0.046288688030676525,0.3090178058587019,0.6909821941412981
G17003102523,1980,2523,Cook,Illinois,1376,0.02688953488372093,0.9629360465116279,0.010174418604651164,387,0.9147286821705426,0.08527131782945736,0.4152542372881356,0.5847457627118644
G17003102524,1980,2524,Cook,Illinois,2513,0.7401512136888182,0.23119777158774374,0.02865101472343812,901,0.9345172031076582,0.06548279689234185,0.4180522565320665,0.5819477434679335
G17003102601,1980,2601,Cook,Illinois,1950,0.019487179487179488,0.9692307692307692,0.011282051282051283,694,0.9567723342939481,0.043227665706051875,0.10542168674698796,0.8945783132530121
G17003102602,1980,2602,Cook,Illinois,2056,0.010214007782101167,0.9815175097276264,0.008268482490272374,612,0.9477124183006536,0.05228758169934641,0.16724137931034483,0.8327586206896552
G17003102603,1980,2603,Cook,Illinois,3011,0.017934241115908335,0.9780803719694454,0.003985386914646297,875,0.9337142857142857,0.06628571428571428,0.20195838433292534,0.7980416156670747
G17003102604,1980,2604,Cook,Illinois,2888,0.007271468144044321,0.9861495844875346,0.006578947368421052,871,0.9506314580941446,0.04936854190585534,0.17995169082125603,0.8200483091787439
G17003102605,1980,2605,Cook,Illinois,3558,0.0022484541877459247,0.9943788645306352,0.003372681281618887,1004,0.9661354581673307,0.03386454183266932,0.2721649484536082,0.7278350515463917
G17003102606,1980,2606,Cook,Illinois,4503,0.004885631801021541,0.9922274039529203,0.0028869642460581835,1184,0.9662162162162162,0.033783783783783786,0.291958041958042,0.708041958041958
G17003102607,1980,2607,Cook,Illinois,4013,0.00647894343384002,0.9905307749813107,0.00299028158484924,1060,0.9575471698113207,0.04245283018867924,0.26798029556650244,0.7320197044334975
G17003102608,1980,2608,Cook,Illinois,4618,0.0019488956258120397,0.9939367691641403,0.00411433521004764,1266,0.9423380726698263,0.05766192733017378,0.18608549874266556,0.8139145012573344
G17003102609,1980,2609,Cook,Illinois,2896,0.004143646408839779,0.9924033149171271,0.003453038674033149,778,0.9550128534704371,0.04498714652956298,0.2557200538358008,0.7442799461641992
G17003102610,1980,2610,Cook,Illinois,4372,0.008005489478499543,0.9901646843549863,0.0018298261665141812,1239,0.9572235673930589,0.042776432606941084,0.3246205733558179,0.6753794266441822
G17003102701,1980,2701,Cook,Illinois,508,0.05511811023622047,0.9330708661417323,0.011811023622047244,184,0.7771739130434783,0.22282608695652173,0.3356643356643357,0.6643356643356644
G17003102702,1980,2702,Cook,Illinois,2127,0.004231311706629055,0.9948283968030089,0.0009402914903620122,808,0.9071782178217822,0.09282178217821782,0.26875852660300137,0.7312414733969986
G17003102703,1980,2703,Cook,Illinois,1950,0.006153846153846154,0.9933333333333333,0.0005128205128205128,693,0.9076479076479076,0.09235209235209235,0.2082670906200318,0.7917329093799682
G17003102704,1980,2704,Cook,Illinois,1592,0.0043969849246231155,0.992462311557789,0.00314070351758794,484,0.9504132231404959,0.049586776859504134,0.28695652173913044,0.7130434782608696
G17003102705,1980,2705,Cook,Illinois,1951,0.0030753459764223477,0.9892362890825218,0.007688364941055869,699,0.8984263233190272,0.10157367668097282,0.1178343949044586,0.8821656050955414
G17003102706,1980,2706,Cook,Illinois,1085,0.0027649769585253456,0.9944700460829493,0.0027649769585253456,465,0.9397849462365592,0.060215053763440864,0.10068649885583524,0.8993135011441648
G17003102707,1980,2707,Cook,Illinois,969,0.005159958720330237,0.9927760577915377,0.0020639834881320948,544,0.7996323529411765,0.20036764705882354,0.13793103448275862,0.8620689655172413
G17003102708,1980,2708,Cook,Illinois,905,0.004419889502762431,0.9911602209944751,0.004419889502762431,433,0.8429561200923787,0.15704387990762125,0.22465753424657534,0.7753424657534247
G17003102709,1980,2709,Cook,Illinois,562,0.01601423487544484,0.9839857651245552,0.0,262,0.816793893129771,0.183206106870229,0.29439252336448596,0.705607476635514
G17003102710,1980,2710,Cook,Illinois,1707,0.0023432923257176333,0.9953134153485648,0.0023432923257176333,631,0.873217115689382,0.12678288431061807,0.21234119782214156,0.7876588021778584
G17003102711,1980,2711,Cook,Illinois,2552,0.008620689655172414,0.987460815047022,0.003918495297805642,929,0.8880516684607105,0.11194833153928956,0.22181818181818183,0.7781818181818182
G17003102712,1980,2712,Cook,Illinois,1850,0.01945945945945946,0.9718918918918918,0.008648648648648649,627,0.9122807017543859,0.08771929824561403,0.19230769230769232,0.8076923076923077
G17003102713,1980,2713,Cook,Illinois,2346,0.008525149190110827,0.9901960784313726,0.0012787723785166241,704,0.9176136363636364,0.08238636363636363,0.16563467492260062,0.8343653250773994
G17003102714,1980,2714,Cook,Illinois,3925,0.00535031847133758,0.9938853503184714,0.0007643312101910828,1357,0.8798820928518791,0.12011790714812086,0.10887772194304858,0.8911222780569514
G17003102715,1980,2715,Cook,Illinois,1542,0.00324254215304799,0.9922178988326849,0.004539559014267186,411,0.927007299270073,0.072992700729927,0.2992125984251969,0.7007874015748031
G17003102716,1980,2716,Cook,Illinois,1396,0.013610315186246419,0.9806590257879656,0.0057306590257879654,429,0.9300699300699301,0.06993006993006994,0.22807017543859648,0.7719298245614035
G17003102717,1980,2717,Cook,Illinois,1818,0.00055005500550055,0.9994499449944995,0.0,539,0.8552875695732839,0.14471243042671614,0.26247288503253796,0.737527114967462
G17003102718,1980,2718,Cook,Illinois,1788,0.0044742729306487695,0.9944071588366891,0.0011185682326621924,488,0.9282786885245902,0.07172131147540983,0.18763796909492272,0.8123620309050773
G17003102719,1980,2719,Cook,Illinois,1007,0.003972194637537239,0.9930486593843099,0.0029791459781529296,258,0.9496124031007752,0.050387596899224806,0.23265306122448978,0.7673469387755102
G17003102801,1980,2801,Cook,Illinois,174,0.9827586206896551,0.011494252873563218,0.005747126436781609,177,0.9661016949152542,0.03389830508474576,0.029239766081871343,0.9707602339181286
G17003102802,1980,2802,Cook,Illinois,193,0.5958549222797928,0.2694300518134715,0.13471502590673576,114,0.8947368421052632,0.10526315789473684,0.00980392156862745,0.9901960784313726
G17003102803,1980,2803,Cook,Illinois,342,0.11695906432748537,0.8421052631578947,0.04093567251461988,120,0.85,0.15,0.12745098039215685,0.8725490196078431
G17003102804,1980,2804,Cook,Illinois,4347,0.0006901311249137336,0.998389694041868,0.0009201748332183115,1159,0.9577221742881795,0.04227782571182054,0.04144144144144144,0.9585585585585585
G17003102805,1980,2805,Cook,Illinois,4621,0.0010820168794633195,0.9965375459857174,0.0023804371348193033,934,0.9807280513918629,0.019271948608137045,0.0425764192139738,0.9574235807860262
G17003102806,1980,2806,Cook,Illinois,183,0.01639344262295082,0.9836065573770492,0.0,65,0.8153846153846154,0.18461538461538463,0.1509433962264151,0.8490566037735849
G17003102807,1980,2807,Cook,Illinois,512,0.00390625,0.99609375,0.0,187,0.9679144385026738,0.03208556149732621,0.19889502762430938,0.8011049723756906
G17003102808,1980,2808,Cook,Illinois,5924,0.0021944632005401754,0.9942606347062796,0.0035449020931802838,1581,0.9702719797596457,0.029728020240354206,0.04758800521512386,0.9524119947848761
G17003102809,1980,2809,Cook,Illinois,1151,0.015638575152041704,0.9704604691572546,0.013900955690703735,438,0.9634703196347032,0.0365296803652968,0.04739336492890995,0.95260663507109
G17003102810,1980,2810,Cook,Illinois,145,0.013793103448275862,0.9862068965517241,0.0,65,0.9384615384615385,0.06153846153846154,0.2786885245901639,0.7213114754098361
G17003102811,1980,2811,Cook,Illinois,384,0.0078125,0.9921875,0.0,194,0.865979381443299,0.13402061855670103,0.18452380952380953,0.8154761904761905
G17003102812,1980,2812,Cook,Illinois,945,0.016931216931216932,0.9830687830687831,0.0,320,0.940625,0.059375,0.33554817275747506,0.6644518272425249
G17003102813,1980,2813,Cook,Illinois,1167,0.012853470437017995,0.9854327335047129,0.001713796058269066,599,0.8213689482470785,0.17863105175292154,0.16056910569105692,0.8394308943089431
G17003102814,1980,2814,Cook,Illinois,574,0.03484320557491289,0.9494773519163763,0.0156794425087108,310,0.8096774193548387,0.19032258064516128,0.1553784860557769,0.8446215139442231
G17003102815,1980,2815,Cook,Illinois,1295,0.009266409266409266,0.9907335907335907,0.0,451,0.9623059866962306,0.037694013303769404,0.1543778801843318,0.8456221198156681
G17003102816,1980,2816,Cook,Illinois,1338,0.06576980568011959,0.9162929745889388,0.017937219730941704,999,0.8958958958958959,0.1041041041041041,0.053631284916201116,0.9463687150837988
G17003102817,1980,2817,Cook,Illinois,772,0.6204663212435233,0.28367875647668395,0.09585492227979274,348,0.5431034482758621,0.45689655172413796,0.18518518518518517,0.8148148148148148
G17003102818,1980,2818,Cook,Illinois,580,0.6810344827586207,0.2206896551724138,0.09827586206896552,357,0.7927170868347339,0.20728291316526612,0.024734982332155476,0.9752650176678446
G17003102819,1980,2819,Cook,Illinois,449,0.6570155902004454,0.2583518930957684,0.08463251670378619,368,0.7934782608695652,0.20652173913043478,0.010273972602739725,0.9897260273972602
G17003102820,1980,2820,Cook,Illinois,5,0.4,0.6,0.0,22,0.09090909090909091,0.9090909090909091,0.0,0.0
G17003102821,1980,2821,Cook,Illinois,0,,,,0,,,,
G17003102822,1980,2822,Cook,Illinois,1480,0.793918918918919,0.020945945945945947,0.18513513513513513,705,0.7971631205673759,0.2028368794326241,0.32562277580071175,0.6743772241992882
G17003102823,1980,2823,Cook,Illinois,876,0.7842465753424658,0.02054794520547945,0.1952054794520548,341,0.9589442815249267,0.04105571847507331,0.327217125382263,0.672782874617737
G17003102824,1980,2824,Cook,Illinois,1415,0.6685512367491167,0.13427561837455831,0.1971731448763251,721,0.970873786407767,0.02912621359223301,0.11,0.89
G17003102825,1980,2825,Cook,Illinois,784,0.12244897959183673,0.1568877551020408,0.7206632653061225,335,0.9970149253731343,0.0029850746268656717,0.005988023952095809,0.9940119760479041
G17003102826,1980,2826,Cook,Illinois,214,0.09345794392523364,0.4252336448598131,0.48130841121495327,62,0.9354838709677419,0.06451612903225806,0.3793103448275862,0.6206896551724138
G17003102827,1980,2827,Cook,Illinois,2257,0.2711564023039433,0.4293309703145769,0.2995126273814798,700,0.8342857142857143,0.1657142857142857,0.273972602739726,0.726027397260274
G17003102828,1980,2828,Cook,Illinois,1988,0.46981891348088534,0.12575452716297786,0.4044265593561368,605,0.8876033057851239,0.11239669421487604,0.2849162011173184,0.7150837988826816
G17003102829,1980,2829,Cook,Illinois,2058,0.45335276967930027,0.15743440233236153,0.3892128279883382,652,0.9585889570552147,0.04141104294478527,0.1568,0.8432
G17003102830,1980,2830,Cook,Illinois,851,0.35605170387779084,0.3078730904817861,0.33607520564042304,112,0.9553571428571429,0.044642857142857144,0.102803738317757,0.897196261682243
G17003102831,1980,2831,Cook,Illinois,1845,0.6200542005420054,0.12032520325203253,0.25962059620596206,899,0.9599555061179088,0.04004449388209121,0.16801853997682503,0.831981460023175
G17003102832,1980,2832,Cook,Illinois,3210,0.1130841121495327,0.8339563862928349,0.0529595015576324,1292,0.9465944272445821,0.053405572755417956,0.05151267375306623,0.9484873262469338
G17003102833,1980,2833,Cook,Illinois,479,0.697286012526096,0.06471816283924843,0.23799582463465555,195,0.8256410256410256,0.17435897435897435,0.2484472049689441,0.7515527950310559
G17003102834,1980,2834,Cook,Illinois,4,0.75,0.25,0.0,0,,,,
G17003102835,1980,2835,Cook,Illinois,0,,,,0,,,,
G17003102836,1980,2836,Cook,Illinois,62,0.04838709677419355,0.5967741935483871,0.3548387096774194,32,0.8125,0.1875,0.07692307692307693,0.9230769230769231
G17003102837,1980,2837,Cook,Illinois,219,0.2557077625570776,0.634703196347032,0.1095890410958904,95,0.8631578947368421,0.1368421052631579,0.06097560975609756,0.9390243902439024
G17003102838,1980,2838,Cook,Illinois,3090,0.00032362459546925567,0.9935275080906149,0.006148867313915857,728,0.9642857142857143,0.03571428571428571,0.008547008547008548,0.9914529914529915
G17003102839,1980,2839,Cook,Illinois,7925,0.0026498422712933753,0.9940694006309149,0.003280757097791798,2503,0.9424690371554135,0.057530962844586496,0.01695633743111488,0.9830436625688851
G17003102840,1980,2840,Cook,Illinois,1457,0.0034317089910775567,0.9835277968428278,0.013040494166094716,560,0.8571428571428571,0.14285714285714285,0.2520833333333333,0.7479166666666667
G17003102841,1980,2841,Cook,Illinois,967,0.0062047569803516025,0.9906928645294726,0.0031023784901758012,391,0.8695652173913043,0.13043478260869565,0.2088235294117647,0.7911764705882353
G17003102842,1980,2842,Cook,Illinois,962,0.006237006237006237,0.9916839916839917,0.002079002079002079,314,0.9267515923566879,0.0732484076433121,0.23024054982817868,0.7697594501718213
G17003102843,1980,2843,Cook,Illinois,61,0.08196721311475409,0.7377049180327869,0.18032786885245902,24,0.8333333333333334,0.16666666666666666,0.2,0.8
G17003102901,1980,2901,Cook,Illinois,11,0.09090909090909091,0.9090909090909091,0.0,3,1.0,0.0,0.0,0.0
G17003102902,1980,2902,Cook,Illinois,1695,0.002359882005899705,0.9976401179941002,0.0,509,0.9194499017681729,0.08055009823182711,0.10683760683760683,0.8931623931623932
G17003102903,1980,2903,Cook,Illinois,682,0.0,1.0,0.0,209,0.9138755980861244,0.0861244019138756,0.18848167539267016,0.8115183246073299
G17003102904,1980,2904,Cook,Illinois,0,,,,0,,,,
G17003102905,1980,2905,Cook,Illinois,1340,0.004477611940298508,0.9955223880597015,0.0,434,0.8317972350230415,0.16820276497695852,0.11357340720221606,0.8864265927977839
G17003102906,1980,2906,Cook,Illinois,646,0.0046439628482972135,0.9845201238390093,0.010835913312693499,200,0.925,0.075,0.22162162162162163,0.7783783783783784
G17003102907,1980,2907,Cook,Illinois,1260,0.0015873015873015873,0.9976190476190476,0.0007936507936507937,391,0.887468030690537,0.11253196930946291,0.29394812680115273,0.7060518731988472
G17003102908,1980,2908,Cook,Illinois,1227,0.0008149959250203749,0.9942950285248574,0.004889975550122249,441,0.8707482993197279,0.1292517006802721,0.1875,0.8125
G17003102909,1980,2909,Cook,Illinois,7628,0.008127949659150499,0.988070267435763,0.003801782905086523,2314,0.9286949006050129,0.07130509939498704,0.20288506281991625,0.7971149371800837
G17003102910,1980,2910,Cook,Illinois,2040,0.0024509803921568627,0.9941176470588236,0.003431372549019608,628,0.9347133757961783,0.06528662420382166,0.18739352640545145,0.8126064735945485
G17003102911,1980,2911,Cook,Illinois,6491,0.0024649514712679096,0.9952241565244184,0.002310892004313665,1945,0.8976863753213368,0.10231362467866324,0.13631156930126,0.86368843069874
G17003102912,1980,2912,Cook,Illinois,3921,0.0007651109410864575,0.9954093343534812,0.0038255547054322878,1103,0.928377153218495,0.07162284678150499,0.15625,0.84375
G17003102913,1980,2913,Cook,Illinois,4375,0.004114285714285714,0.9938285714285714,0.002057142857142857,1202,0.9500831946755408,0.04991680532445923,0.1584938704028021,0.841506129597198
G17003102914,1980,2914,Cook,Illinois,2515,0.03459244532803181,0.9578528827037773,0.0075546719681908545,695,0.9410071942446043,0.058992805755395686,0.10244648318042814,0.8975535168195719
G17003102915,1980,2915,Cook,Illinois,3413,0.07676530911221799,0.842074421330208,0.08116026955757398,850,0.9694117647058823,0.03058823529411765,0.154126213592233,0.845873786407767
G17003102916,1980,2916,Cook,Illinois,1187,0.32940185341196293,0.13984835720303285,0.5307497893850042,385,0.8623376623376623,0.13766233766233765,0.24096385542168675,0.7590361445783133
G17003102917,1980,2917,Cook,Illinois,973,0.006166495375128468,0.9753340184994861,0.018499486125385406,345,0.881159420289855,0.11884057971014493,0.26644736842105265,0.7335526315789473
G17003102918,1980,2918,Cook,Illinois,888,0.0011261261261261261,0.9842342342342343,0.01463963963963964,266,0.9135338345864662,0.08646616541353383,0.16872427983539096,0.831275720164609
G17003102919,1980,2919,Cook,Illinois,631,0.004754358161648178,0.9889064976228209,0.006339144215530904,187,0.9518716577540107,0.0481283422459893,0.2808988764044944,0.7191011235955056
G17003102920,1980,2920,Cook,Illinois,1174,0.011073253833049404,0.9872231686541738,0.0017035775127768314,346,0.9624277456647399,0.03757225433526012,0.3003003003003003,0.6996996996996997
G17003102921,1980,2921,Cook,Illinois,1081,0.0027752081406105457,0.9888991674375578,0.008325624421831638,329,0.939209726443769,0.060790273556231005,0.31715210355987056,0.6828478964401294
G17003102922,1980,2922,Cook,Illinois,4551,0.004614370468029005,0.992309382553285,0.0030762469786860033,1433,0.9099790648988136,0.09002093510118632,0.254601226993865,0.745398773006135
G17003102923,1980,2923,Cook,Illinois,1243,0.011263073209975865,0.9879324215607401,0.0008045052292839903,374,0.9625668449197861,0.0374331550802139,0.2833333333333333,0.7166666666666667
G17003102924,1980,2924,Cook,Illinois,3963,0.012869038607115822,0.9843552863991926,0.0027756749936916477,1268,0.9353312302839116,0.06466876971608833,0.24957841483979765,0.7504215851602024
G17003102925,1980,2925,Cook,Illinois,6478,0.006637851188638469,0.9884223525779562,0.004939796233405372,2087,0.9314805941542884,0.06851940584571155,0.31893004115226337,0.6810699588477366
G17003102926,1980,2926,Cook,Illinois,2121,0.010372465818010372,0.9863272041489863,0.0033003300330033004,651,0.9631336405529954,0.03686635944700461,0.37320574162679426,0.6267942583732058
G17003102927,1980,2927,Cook,Illinois,0,,,,0,,,,
G17003103001,1980,3001,Cook,Illinois,2347,0.3067746058798466,0.008095440988495952,0.6851299531316575,733,0.8717598908594816,0.12824010914051842,0.2566510172143975,0.7433489827856025
G17003103002,1980,3002,Cook,Illinois,1225,0.27918367346938777,0.0016326530612244899,0.7191836734693877,309,0.9514563106796117,0.04854368932038835,0.23809523809523808,0.7619047619047619
G17003103003,1980,3003,Cook,Illinois,1905,0.15800524934383203,0.45354330708661417,0.3884514435695538,791,0.9494310998735778,0.05056890012642225,0.1051930758988016,0.8948069241011984
G17003103004,1980,3004,Cook,Illinois,558,0.014336917562724014,0.985663082437276,0.0,158,0.9556962025316456,0.04430379746835443,0.4503311258278146,0.5496688741721855
G17003103005,1980,3005,Cook,Illinois,3636,0.3965896589658966,0.12183718371837184,0.4815731573157316,1053,0.9392212725546059,0.060778727445394115,0.2982810920121335,0.7017189079878665
G17003103006,1980,3006,Cook,Illinois,3354,0.4200954084675015,0.18962432915921287,0.3902802623732856,925,0.9232432432432433,0.07675675675675675,0.3864168618266979,0.6135831381733021
G17003103007,1980,3007,Cook,Illinois,5443,0.36873047951497334,0.02553738747014514,0.6057321330148815,1450,0.923448275862069,0.07655172413793103,0.27557879014189696,0.7244212098581031
G17003103008,1980,3008,Cook,Illinois,5083,0.4637025378713358,0.013377926421404682,0.5229195357072595,1422,0.8860759493670886,0.11392405063291139,0.28095238095238095,0.719047619047619
G17003103009,1980,3009,Cook,Illinois,5507,0.42909024877428725,0.01071363718903214,0.5601961140366806,1624,0.8916256157635468,0.10837438423645321,0.2589779005524862,0.7410220994475138
G17003103010,1980,3010,Cook,Illinois,1490,0.1919463087248322,0.0,0.8080536912751678,413,0.9200968523002422,0.07990314769975787,0.35789473684210527,0.6421052631578947
G17003103011,1980,3011,Cook,Illinois,2653,0.38032416132679986,0.003015454202789295,0.6166603844704108,814,0.8943488943488943,0.10565110565110565,0.25686813186813184,0.7431318681318682
G17003103012,1980,3012,Cook,Illinois,4440,0.5218468468468469,0.032207207207207204,0.44594594594594594,1354,0.9135893648449039,0.086410635155096,0.29587712206952305,0.704122877930477
G17003103013,1980,3013,Cook,Illinois,4763,0.20134369095108126,0.6909510812513122,0.10770522779760655,65,0.9538461538461539,0.046153846153846156,0.43548387096774194,0.5645161290322581
G17003103014,1980,3014,Cook,Illinois,967,0.44260599793174765,0.011375387797311272,0.546018614270941,294,0.8503401360544217,0.14965986394557823,0.348,0.652
G17003103015,1980,3015,Cook,Illinois,3501,0.5484147386461011,0.005141388174807198,0.4464438731790917,1003,0.9192422731804586,0.08075772681954138,0.3969631236442516,0.6030368763557483
G17003103016,1980,3016,Cook,Illinois,4811,0.46705466638952403,0.0066514238204115565,0.5262939097900644,1400,0.9128571428571428,0.08714285714285715,0.4295774647887324,0.5704225352112676
G17003103017,1980,3017,Cook,Illinois,7657,0.5675852161420922,0.003917983544469113,0.4284968003134387,2352,0.9485544217687075,0.05144557823129252,0.4455401165396683,0.5544598834603317
G17003103018,1980,3018,Cook,Illinois,12103,0.5481285631661571,0.01098901098901099,0.44088242584483184,3627,0.9393438103115522,0.060656189688447756,0.46228353390079246,0.5377164660992075
G17003103019,1980,3019,Cook,Illinois,1439,0.6122307157748437,0.010423905489923557,0.37734537873523283,416,0.9615384615384616,0.038461538461538464,0.665,0.335
G17003103020,1980,3020,Cook,Illinois,2322,0.6619293712316968,0.006459948320413436,0.33161068044788977,738,0.967479674796748,0.032520325203252036,0.6792717086834734,0.32072829131652664
G17003103101,1980,3101,Cook,Illinois,411,0.25547445255474455,0.0,0.7445255474452555,138,0.9130434782608695,0.08695652173913043,0.2222222222222222,0.7777777777777778
G17003103102,1980,3102,Cook,Illinois,2027,0.4666995559940799,0.003453379378391712,0.5298470646275284,709,0.8702397743300423,0.12976022566995768,0.24959481361426256,0.7504051863857374
G17003103103,1980,3103,Cook,Illinois,2244,0.46078431372549017,0.015151515151515152,0.5240641711229946,729,0.8340192043895748,0.16598079561042525,0.2582236842105263,0.7417763157894737
G17003103104,1980,3104,Cook,Illinois,1936,0.3331611570247934,0.03254132231404959,0.6342975206611571,649,0.8382126348228043,0.1617873651771957,0.2610294117647059,0.7389705882352942
G17003103105,1980,3105,Cook,Illinois,2099,0.3825631252977608,0.0028585040495474035,0.6145783706526917,627,0.8883572567783095,0.11164274322169059,0.23159784560143626,0.7684021543985637
G17003103106,1980,3106,Cook,Illinois,8207,0.3885707323016937,0.024003899110515415,0.5874253685877909,2618,0.878533231474408,0.12146676852559206,0.15869565217391304,0.841304347826087
G17003103107,1980,3107,Cook,Illinois,2388,0.3027638190954774,0.010887772194304857,0.6863484087102177,647,0.9227202472952086,0.07727975270479134,0.17922948073701842,0.8207705192629816
G17003103108,1980,3108,Cook,Illinois,5927,0.4312468365108824,0.005567740846971487,0.5631854226421461,1782,0.8961840628507295,0.10381593714927048,0.24483406386975579,0.7551659361302442
G17003103109,1980,3109,Cook,Illinois,5859,0.5355862775217614,0.0034135518006485747,0.46100017067759,1946,0.8751284686536485,0.1248715313463515,0.24662360540223136,0.7533763945977686
