NHGISCODE|GJOIN1970|GJOIN1980|GJOIN1990|GJOIN2000|GJOIN2012|STATE|COUNTY|TRACTA|Total_1970|Total_1980|Total_1990|Total_2000|Total_2010|High_Attainment_1970|High_Attainment_1980|High_Attainment_1990|High_Attainment_2000|High_Attainment_2010
G1700150960300|||G17001509603|G1700150960300|G1700150960300|Illinois|Carroll County|960300|0.0|0.0|2725.0|2522.0|2312.0|||0.07706422018348624|0.11459159397303727|0.14359861591695502
G1700150960400|||G17001509604|G1700150960400|G1700150960400|Illinois|Carroll County|960400|0.0|0.0|1654.0|1713.0|1712.0|||0.12998790810157196|0.1190893169877408|0.20151869158878505
G1700150960500|||G17001509605|G1700150960500|G1700150960500|Illinois|Carroll County|960500|0.0|0.0|1901.0|1870.0|1717.0|||0.10941609679116254|0.12994652406417112|0.1700640652300524
G1700150960600|||G17001509606|G1700150960600|G1700150960600|Illinois|Carroll County|960600|0.0|0.0|1111.0|1164.0|1118.0|||0.10621062106210621|0.11254295532646048|0.12701252236135957
G1700170960100|||G17001709601|G1700170960100|G1700170960100|Illinois|Cass County|960100|0.0|0.0|1749.0|1790.0|1790.0|||0.10062893081761007|0.15977653631284916|0.13128491620111732
G1700170960200|||G17001709602|G1700170960200|G1700170960200|Illinois|Cass County|960200|0.0|0.0|1979.0|1930.0|1842.0|||0.13390601313794845|0.1616580310880829|0.1487513572204126
G1700170960300|||G17001709603|G1700170960300|G1700170960300|Illinois|Cass County|960300|0.0|0.0|2108.0|2197.0|2471.0|||0.10294117647058823|0.11470186618115612|0.0906515580736544
G1700170960400|||G17001709604|G1700170960400|G1700170960400|Illinois|Cass County|960400|0.0|0.0|1547.0|1677.0|1570.0|||0.12540400775694893|0.0936195587358378|0.13439490445859872
G1700170960500|||G17001709605|G1700170960500|G1700170960500|Illinois|Cass County|960500|0.0|0.0|1442.0|1462.0|1584.0|||0.057558945908460474|0.09439124487004104|0.10353535353535354
G1700190000100|G17001900001|G17001900001|G17001900001|G1700190000100||Illinois|Champaign County|100|430.0|324.0|337.0|323.0|0.0|0.14883720930232558|0.23148148148148148|0.3827893175074184|0.34055727554179566|
G1700190000200|G17001900002|G17001900002|G17001900002|G1700190000200|G1700190000200|Illinois|Champaign County|200|1414.0|1171.0|1054.0|896.0|953.0|0.024752475247524754|0.06917164816396243|0.05502846299810247|0.140625|0.1311647429171039
G1700190000300|G17001900003|G17001900003|G17001900003|G1700190000300||Illinois|Champaign County|300|1297.0|1252.0|1319.0|1184.0|0.0|0.4302235929067078|0.5814696485623003|0.6087945413191812|0.5506756756756757|
G1700190000301|||||G1700190000301|Illinois|Champaign County|301|0.0|0.0|0.0|0.0|388.0|||||0.5902061855670103
G1700190000302|||||G1700190000302|Illinois|Champaign County|302|0.0|0.0|0.0|0.0|1018.0|||||0.693516699410609
G1700190000400|G17001900004|G17001900004|G17001900004|G1700190000400||Illinois|Champaign County|400|923.0|759.0|759.0|547.0|0.0|0.6013001083423619|0.7272727272727273|0.7246376811594203|0.7330895795246801|
G1700190000401|||||G1700190000401|Illinois|Champaign County|401|0.0|0.0|0.0|0.0|232.0|||||0.6120689655172413
G1700190000402|||||G1700190000402|Illinois|Champaign County|402|0.0|0.0|0.0|0.0|228.0|||||0.6535087719298246
G1700190000500|G17001900005|G17001900005|G17001900005|G1700190000500|G1700190000500|Illinois|Champaign County|500|2534.0|2436.0|2520.0|2554.0|2528.0|0.34767166535122335|0.48932676518883417|0.5769841269841269|0.610806577916993|0.7223101265822784
G1700190000600|G17001900006|G17001900006|G17001900006|G1700190000600||Illinois|Champaign County|600|2304.0|2162.0|2312.0|2360.0|0.0|0.2786458333333333|0.3940795559666975|0.5060553633217993|0.5233050847457628|
G1700190000700|G17001900007|G17001900007|G17001900007|G1700190000700|G1700190000700|Illinois|Champaign County|700|2368.0|2265.0|2292.0|2144.0|2365.0|0.060388513513513514|0.11567328918322296|0.07984293193717278|0.07462686567164178|0.16194503171247357
G1700190000800|G17001900008|G17001900008|G17001900008|G1700190000800|G1700190000800|Illinois|Champaign County|800|838.0|943.0|1055.0|1453.0|3109.0|0.15990453460620524|0.09544008483563096|0.0881516587677725|0.36751548520302824|0.4744290768735928
G1700190000900|G17001900009|G17001900009|G17001900009|||Illinois|Champaign County|900|2767.0|2753.0|4115.0|0.0|0.0|0.14745211420310805|0.11369415183436252|0.21822600243013365||
G1700190000901||||G1700190000901|G1700190000901|Illinois|Champaign County|901|0.0|0.0|0.0|2711.0|2391.0||||0.1932866101069716|0.20744458385612716
G1700190000902||||G1700190000902|G1700190000902|Illinois|Champaign County|902|0.0|0.0|0.0|2137.0|3956.0||||0.399157697707066|0.3867542972699697
G1700190001000|G17001900010|G17001900010|G17001900010|G1700190001000|G1700190001000|Illinois|Champaign County|1000|2967.0|2769.0|3119.0|2996.0|3082.0|0.2487360970677452|0.2954135066811123|0.3735171529336326|0.37216288384512686|0.3741077222582738
G1700190001100|G17001900011|G17001900011|G17001900011|G1700190001100|G1700190001100|Illinois|Champaign County|1100|3057.0|2826.0|2835.0|2681.0|2726.0|0.42459928034020283|0.43665958952583156|0.5379188712522046|0.5714285714285714|0.5733675715333822
G1700190001200|G17001900012|||||Illinois|Champaign County|1200|4221.0|0.0|0.0|0.0|0.0|0.2935323383084577||||
G1700190001201||G1700190001201|G1700190001201|G1700190001201|G1700190001201|Illinois|Champaign County|1201|0.0|3692.0|4185.0|4192.0|4322.0||0.2689599133261105|0.23823178016726404|0.29150763358778625|0.35585377140212865
G1700190001202||G1700190001202|G1700190001202|||Illinois|Champaign County|1202|0.0|4004.0|5649.0|0.0|0.0||0.41858141858141856|0.4903522747388918||
G1700190001203||||G1700190001203|G1700190001203|Illinois|Champaign County|1203|0.0|0.0|0.0|3364.0|3454.0||||0.5472651605231866|0.5260567458019687
G1700190001204||||G1700190001204|G1700190001204|Illinois|Champaign County|1204|0.0|0.0|0.0|1727.0|2407.0||||0.6346265199768385|0.6584960531782301
G1700190001205||||G1700190001205|G1700190001205|Illinois|Champaign County|1205|0.0|0.0|0.0|1096.0|3420.0||||0.48722627737226276|0.6558479532163742
G1700190001206||||G1700190001206|G1700190001206|Illinois|Champaign County|1206|0.0|0.0|0.0|1557.0|1531.0||||0.6339113680154143|0.6708033964728936
G1700190001300|G17001900013|G17001900013|G17001900013|||Illinois|Champaign County|1300|2722.0|4199.0|5967.0|0.0|0.0|0.47171197648787655|0.48368659204572517|0.5984581866934808||
G1700190001301||||G1700190001301|G1700190001301|Illinois|Champaign County|1301|0.0|0.0|0.0|4504.0|4618.0||||0.5923623445825933|0.6669553919445648
G1700190001302||||G1700190001302|G1700190001302|Illinois|Champaign County|1302|0.0|0.0|0.0|3073.0|2981.0||||0.6430198503091442|0.6142234149614223
G1700190001400|G17001900014|G17001900014|G17001900014|G1700190001400|G1700190001400|Illinois|Champaign County|1400|175.0|546.0|705.0|847.0|1969.0|0.7885714285714286|0.6538461538461539|0.6893617021276596|0.641086186540732|0.7750126968004063
G1700190005100|G17001900051|G17001900051|G17001900051|G1700190005100||Illinois|Champaign County|5100|97.0|66.0|130.0|157.0|0.0|0.08247422680412371|0.09090909090909091|0.26153846153846155|0.21656050955414013|
G1700190005200|G17001900052|G17001900052|G17001900052|G1700190005200||Illinois|Champaign County|5200|1069.0|812.0|1008.0|843.0|0.0|0.44434050514499535|0.6600985221674877|0.7599206349206349|0.7686832740213523|
G1700190005300|G17001900053|G17001900053|G17001900053|G1700190005300|G1700190005300|Illinois|Champaign County|5300|2019.0|1883.0|1726.0|1594.0|1862.0|0.16295195641406637|0.23101433882103026|0.1413673232908459|0.24592220828105396|0.3029001074113856
G1700190005400|G17001900054|G17001900054|G17001900054|G1700190005400||Illinois|Champaign County|5400|2063.0|3333.0|4563.0|4575.0|0.0|0.17838099854580708|0.24722472247224722|0.2336182336182336|0.2721311475409836|
G1700190005401|||||G1700190005401|Illinois|Champaign County|5401|0.0|0.0|0.0|0.0|2854.0|||||0.33216538192011213
G1700190005402|||||G1700190005402|Illinois|Champaign County|5402|0.0|0.0|0.0|0.0|2012.0|||||0.1709741550695825
G1700190005500|G17001900055|G17001900055|G17001900055|G1700190005500|G1700190005500|Illinois|Champaign County|5500|3482.0|3596.0|3681.0|3851.0|3944.0|0.17432510051694428|0.2260845383759733|0.2838902472154306|0.33627629187224095|0.3711967545638945
G1700190005600|G17001900056|G17001900056|G17001900056|G1700190005600|G1700190005600|Illinois|Champaign County|5600|2229.0|3000.0|3413.0|3552.0|3501.0|0.2063705697622252|0.30333333333333334|0.28918839730442425|0.34938063063063063|0.36361039702942016
G1700190005700|G17001900057|G17001900057|G17001900057|G1700190005700||Illinois|Champaign County|5700|2443.0|4150.0|4763.0|5014.0|0.0|0.5857552189930414|0.5966265060240964|0.6325845055637204|0.5943358595931392|
G1700190005701|||||G1700190005701|Illinois|Champaign County|5701|0.0|0.0|0.0|0.0|3511.0|||||0.5875818855027057
G1700190005702|||||G1700190005702|Illinois|Champaign County|5702|0.0|0.0|0.0|0.0|2311.0|||||0.6001730852444829
G1700190005800|G17001900058|G17001900058|G17001900058|G1700190005800|G1700190005800|Illinois|Champaign County|5800|2381.0|2205.0|2290.0|2096.0|1823.0|0.6119277614447711|0.7047619047619048|0.7572052401746725|0.8320610687022901|0.8705430608886451
G1700190005900|G17001900059|G17001900059|G17001900059|G1700190005900|G1700190005900|Illinois|Champaign County|5900|1063.0|1043.0|1099.0|482.0|558.0|0.7337723424270931|0.925215723873442|0.8953594176524113|0.8858921161825726|0.7795698924731183
G1700190006000|G17001900060|G17001900060|G17001900060|G1700190006000|G1700190006000|Illinois|Champaign County|6000|1200.0|1190.0|1444.0|1103.0|805.0|0.7616666666666667|0.7932773109243697|0.8954293628808865|0.8495013599274706|0.915527950310559
G1700190010100|G17001900101|G17001900101|G17001900101|G1700190010100|G1700190010100|Illinois|Champaign County|10100|2797.0|2880.0|3118.0|3204.0|3105.0|0.09545942080800858|0.16006944444444443|0.1760744066709429|0.1317103620474407|0.18389694041867954
G1700190010200|G17001900102|||||Illinois|Champaign County|10200|3042.0|0.0|0.0|0.0|0.0|0.11604207758053912||||
