GISJOIN,YEAR,TRACTA,COUNTY,STATE,Total Pop,% White,% Black,% Other races,Total Units,% Occupied,% Vacant,% Owner Occupied,% Renter
G17003102430,1970,2430,Cook,Illinois,3568,0.8954596412556054,0.04960762331838565,0.05493273542600897,1155,0.9212121212121213,0.07878787878787878,0.30392156862745096,0.696078431372549
G17003102431,1970,2431,Cook,Illinois,3298,0.9769557307459066,0.004548211036992117,0.018496058217101274,1137,0.9243623570800352,0.07563764291996482,0.27053140096618356,0.7294685990338164
G17003102432,1970,2432,Cook,Illinois,3502,0.971730439748715,0.0,0.02826956025128498,1200,0.9,0.1,0.21212121212121213,0.7878787878787878
G17003102433,1970,2433,Cook,Illinois,3978,0.956510809451986,0.024384112619406737,0.019105077928607342,1370,0.9043795620437957,0.09562043795620438,0.17927631578947367,0.8207236842105263
G17003102434,1970,2434,Cook,Illinois,4448,0.9640287769784173,0.02068345323741007,0.015287769784172662,1429,0.8656403079076277,0.13435969209237228,0.18539786710418377,0.8146021328958163
G17003102435,1970,2435,Cook,Illinois,2123,0.7159679698539803,0.2633066415449835,0.02072538860103627,701,0.8801711840228246,0.11982881597717546,0.12950819672131147,0.8704918032786885
G17003102436,1970,2436,Cook,Illinois,418,0.8923444976076556,0.04066985645933014,0.06698564593301436,103,0.8737864077669902,0.1262135922330097,0.04,0.96
G17003102501,1970,2501,Cook,Illinois,469,1.0,0.0,0.0,169,0.9585798816568047,0.04142011834319527,0.3860759493670886,0.6139240506329114
G17003102502,1970,2502,Cook,Illinois,2650,0.9928301886792453,0.0,0.007169811320754717,864,0.9791666666666666,0.020833333333333332,0.5875576036866359,0.41244239631336405
G17003102503,1970,2503,Cook,Illinois,4183,0.9930671766674636,0.0009562514941429596,0.005976571838393498,1555,0.980064308681672,0.019935691318327974,0.48486842105263156,0.5151315789473684
G17003102504,1970,2504,Cook,Illinois,5795,0.9987920621225194,0.0006902502157031924,0.0005176876617773944,2150,0.9813953488372092,0.018604651162790697,0.5251184834123223,0.47488151658767774
G17003102505,1970,2505,Cook,Illinois,7445,0.9967763599731363,0.0,0.003223640026863667,2485,0.9899396378269618,0.01006036217303823,0.827024827024827,0.17297517297517298
G17003102506,1970,2506,Cook,Illinois,4479,0.9968743022996205,0.0,0.003125697700379549,1438,0.9819193324061196,0.01808066759388039,0.6628814762242725,0.3371185237757275
G17003102507,1970,2507,Cook,Illinois,6138,0.9970674486803519,0.0,0.002932551319648094,2251,0.9822301199466904,0.01776988005330964,0.42883046237534,0.57116953762466
G17003102508,1970,2508,Cook,Illinois,2742,0.9974471188913202,0.0,0.002552881108679796,908,0.9757709251101322,0.024229074889867842,0.5600907029478458,0.4399092970521542
G17003102509,1970,2509,Cook,Illinois,820,0.9841463414634146,0.0,0.015853658536585366,323,0.9597523219814241,0.04024767801857585,0.49846153846153846,0.5015384615384615
G17003102510,1970,2510,Cook,Illinois,653,0.9877488514548239,0.0,0.01225114854517611,268,0.9738805970149254,0.026119402985074626,0.22580645161290322,0.7741935483870968
